<example> testt              ,test
<example> test        ,var1 
<example> test        ,var2
<example> test        ,var1
<example> test        ,var2
<example> test        ,65465467567657
<example> test        ,0                    
<example> test        ,1
<example> test        ,2500                           
<example> test        ,T                                
<example> test        ,                                 
<example> test        ,T                                
<example> test        ,T                                
<example> test        ,T                                
<example> test        ,N
<example> test        ,T                                
<example> test        ,001                              
<example> test        ,001                              
<example> test        ,66666                         
<example> test        ,T
<example> test        ,T

